+-----------------------------------------------------------------+-----------------+-------------------+
| Package                                                         | Total Downloads | Monthly Downloads |
+-----------------------------------------------------------------+-----------------+-------------------+
| zendframework/skeleton-application                              | 169114          | 3528              |
| zendframework/zend-auradi-config                                | 1368            | 93                |
| zendframework/zend-authentication                               | 2147959         | 80568             |
| zendframework/zend-barcode                                      | 1705214         | 54681             |
| zendframework/zend-cache                                        | 4181184         | 126865            |
| zendframework/zend-captcha                                      | 2201294         | 137050            |
| zendframework/zend-code                                         | 20447449        | 921917            |
| zendframework/zend-coding-standard                              | 36874           | 3691              |
| zendframework/zend-component-installer                          | 539140          | 34911             |
| zendframework/zend-config                                       | 6625004         | 234630            |
| zendframework/zend-config-aggregator                            | 203001          | 19714             |
| zendframework/zend-config-aggregator-modulemanager              | 295             | 64                |
| zendframework/zend-config-aggregator-parameters                 | 245             | 171               |
| zendframework/zend-console                                      | 4067224         | 180188            |
| zendframework/zend-container-config-test                        | 556             | 138               |
| zendframework/zend-crypt                                        | 5024416         | 218220            |
| zendframework/zend-db                                           | 2927432         | 163063            |
| zendframework/zend-debug                                        | 1552010         | 54633             |
| zendframework/zend-developer-tools                              | 1537263         | 33961             |
| zendframework/zend-di                                           | 3787527         | 153171            |
| zendframework/zend-diactoros                                    | 13241002        | 878897            |
| zendframework/zend-dom                                          | 1642574         | 56234             |
| zendframework/zend-escaper                                      | 12434840        | 579660            |
| zendframework/zend-eventmanager                                 | 22865747        | 991779            |
| zendframework/zend-expressive                                   | 371806          | 22667             |
| zendframework/zend-expressive-aurarouter                        | 29080           | 1783              |
| zendframework/zend-expressive-authentication                    | 5508            | 742               |
| zendframework/zend-expressive-authentication-basic              | 322             | 114               |
| zendframework/zend-expressive-authentication-oauth2             | 290             | 47                |
| zendframework/zend-expressive-authentication-session            | 873             | 152               |
| zendframework/zend-expressive-authentication-zendauthentication | 657             | 59                |
| zendframework/zend-expressive-authorization                     | 2164            | 222               |
| zendframework/zend-expressive-authorization-acl                 | 78              | 34                |
| zendframework/zend-expressive-authorization-rbac                | 1677            | 213               |
| zendframework/zend-expressive-csrf                              | 2052            | 193               |
| zendframework/zend-expressive-fastroute                         | 267552          | 15974             |
| zendframework/zend-expressive-flash                             | 4606            | 886               |
| zendframework/zend-expressive-hal                               | 11677           | 2250              |
| zendframework/zend-expressive-helpers                           | 339913          | 20745             |
| zendframework/zend-expressive-migration                         | 3827            | 930               |
| zendframework/zend-expressive-platesrenderer                    | 36863           | 1263              |
| zendframework/zend-expressive-router                            | 378568          | 23726             |
| zendframework/zend-expressive-session                           | 8369            | 1443              |
| zendframework/zend-expressive-session-ext                       | 6269            | 1297              |
| zendframework/zend-expressive-skeleton                          | 33495           | 1077              |
| zendframework/zend-expressive-swoole                            | 24              | 24                |
| zendframework/zend-expressive-template                          | 362794          | 22872             |
| zendframework/zend-expressive-tooling                           | 89565           | 9279              |
| zendframework/zend-expressive-twigrenderer                      | 76611           | 4099              |
| zendframework/zend-expressive-zendrouter                        | 86797           | 5036              |
| zendframework/zend-expressive-zendviewrenderer                  | 106070          | 6510              |
| zendframework/zend-feed                                         | 5220832         | 265827            |
| zendframework/zend-file                                         | 1479721         | 45761             |
| zendframework/zend-filter                                       | 6739801         | 261901            |
| zendframework/zend-form                                         | 4330756         | 195718            |
| zendframework/zend-http                                         | 7565288         | 292589            |
| zendframework/zend-httphandlerrunner                            | 33075           | 8849              |
| zendframework/zend-hydrator                                     | 5307990         | 242331            |
| zendframework/zend-i18n                                         | 6234555         | 232804            |
| zendframework/zend-i18n-resources                               | 1437875         | 46750             |
| zendframework/zend-inputfilter                                  | 4645857         | 208864            |
| zendframework/zend-json                                         | 7908348         | 277010            |
| zendframework/zend-json-server                                  | 151427          | 9644              |
| zendframework/zend-ldap                                         | 808031          | 47077             |
| zendframework/zend-loader                                       | 8750240         | 346898            |
| zendframework/zend-log                                          | 4246471         | 185229            |
| zendframework/zend-mail                                         | 3214107         | 133983            |
| zendframework/zend-math                                         | 6816703         | 248021            |
| zendframework/zend-memory                                       | 1935333         | 56099             |
| zendframework/zend-mime                                         | 3465947         | 143413            |
| zendframework/zend-modulemanager                                | 4338932         | 189169            |
| zendframework/zend-mvc                                          | 4467257         | 199819            |
| zendframework/zend-mvc-console                                  | 337703          | 23359             |
| zendframework/zend-mvc-form                                     | 232164          | 13400             |
| zendframework/zend-mvc-i18n                                     | 308917          | 21333             |
| zendframework/zend-mvc-plugin-fileprg                           | 239768          | 14721             |
| zendframework/zend-mvc-plugin-flashmessenger                    | 320408          | 21513             |
| zendframework/zend-mvc-plugin-identity                          | 267403          | 16456             |
